year,paired_cases,legal_employee_wins,legal_employee_win_rate,monetary_employee_wins,monetary_employee_win_rate,disagreements,disagreement_rate,legal_only,monetary_only
2010,355,197,55.5,181,51.0,90,25.4,0,0
2011,282,138,48.9,143,50.7,69,24.5,0,0
2012,299,188,62.9,181,60.5,63,21.1,0,0
2013,312,184,59.0,180,57.7,66,21.2,0,0
2014,253,168,66.4,159,62.8,61,24.1,0,0
2015,197,123,62.4,134,68.0,45,22.8,0,0
2016,191,130,68.1,134,70.2,42,22.0,0,0
2017,187,126,67.4,129,69.0,37,19.8,0,0
2018,161,106,65.8,108,67.1,40,24.8,0,0
2019,136,89,65.4,95,69.9,30,22.1,0,0
2020,87,66,75.9,56,64.4,24,27.6,0,0
2021,46,39,84.8,33,71.7,12,26.1,0,0
2022,87,69,79.3,66,75.9,17,19.5,0,0
2023,66,51,77.3,54,81.8,13,19.7,0,0
2024,80,63,78.8,50,62.5,23,28.8,0,0
2025,137,95,69.3,97,70.8,28,20.4,0,0
2010-2025,2876,1832,63.7,1800,62.6,660,22.9,0,0
