year,era_citation,pdf_url,legal_outcome,monetary_outcome,paired,disagrees
2010,AA 473/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0021c65182/aa-473_10.pdf,employee_win,employee_win,yes,no
2010,CA 57/10,https://determinations.era.govt.nz/assets/elawpdf/2010/00a0aa916c/ca-57_10.pdf,employee_win,employee_win,yes,no
2010,CA 13/10,https://determinations.era.govt.nz/assets/elawpdf/2010/029ff33268/ca-13_10.pdf,employee_win,employer_win,yes,yes
2010,WA 201/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0350713d31/wa-201_10.pdf,employee_win,employee_win,yes,no
2010,CA 175/10,https://determinations.era.govt.nz/assets/elawpdf/2010/03b5f67e6f/ca-175_10.pdf,employer_win,employee_win,yes,yes
2010,AA 36/10,https://determinations.era.govt.nz/assets/elawpdf/2010/04495cf19c/aa-36_10.pdf,employer_win,employee_win,yes,yes
2010,AA 310/10,https://determinations.era.govt.nz/assets/elawpdf/2010/057bec1448/aa-310_10.pdf,employee_win,employer_win,yes,yes
2010,AA 465/10,https://determinations.era.govt.nz/assets/elawpdf/2010/05e92abdc4/aa-465_10.pdf,employee_win,employee_win,yes,no
2010,AA 422/10,https://determinations.era.govt.nz/assets/elawpdf/2010/07186c492d/aa-422_10.pdf,employee_win,employer_win,yes,yes
2010,CA 162/10,https://determinations.era.govt.nz/assets/elawpdf/2010/08558757ea/ca-162_10.pdf,employer_win,employer_win,yes,no
2010,AA 41/10,https://determinations.era.govt.nz/assets/elawpdf/2010/091e4a682d/aa-41_10.pdf,employer_win,employer_win,yes,no
2010,CA 44/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0ab30eb733/ca-44_10.pdf,employee_win,employer_win,yes,yes
2010,CA 218/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0bbc994ffe/ca-218_10.pdf,employee_win,employee_win,yes,no
2010,CA 236/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0bdc8f9cfa/ca-236_10.pdf,employee_win,employee_win,yes,no
2010,CA 143/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0c39457e0b/ca-143_10.pdf,employee_win,employee_win,yes,no
2010,AA 82/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0cae20172b/aa-82_10.pdf,employer_win,employer_win,yes,no
2010,AA 251/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0d10cf81c0/aa-251_10.pdf,employee_win,employer_win,yes,yes
2010,AA 87/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0d9ad2fd5a/aa-87_10.pdf,employee_win,employee_win,yes,no
2010,AA 273/10,https://determinations.era.govt.nz/assets/elawpdf/2010/0d9e39e918/aa-273_10.pdf,employee_win,employee_win,yes,no
