year,query,determination_ref,candidate_reason
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/00d2cfd483/ca-221_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/01e214905d/ca-233_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/02af0512f1/ca-149_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/02db4e8f25/aa-175_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/06b10ce669/aa-334_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/084ca476b6/aa-16_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/0995c4af2a/aa-397_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/0e11981683/ca-145a_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/0e3be30528/wa-105_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/11c580ddce/aa-443_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/12cbaf47b5/wa-59_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/1532e729b2/ca-4a_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/1767383d77/aa-13a_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/1881588178/wa-98_10.pdf,returned by alternate query but not primary query
2010,unjustifiably dismissed,https://determinations.era.govt.nz/assets/elawpdf/2010/19e382f0c9/aa-220_10.pdf,returned by alternate query but not primary query
