year,search_hits,dismissal_merits,excluded,employee_legal_wins,employer_legal_wins,mixed_legal
2010,536,355,181,161,194,0
2011,438,283,155,140,143,0
2012,465,299,166,181,118,0
2013,523,310,213,166,144,0
2014,442,250,192,154,96,0
2015,358,191,167,116,75,0
2016,380,189,191,117,72,0
2017,341,188,153,123,65,0
2018,284,158,126,101,57,0
2019,271,131,140,84,47,0
2020,156,91,65,58,20,13
2021,71,52,19,29,17,6
2022,152,102,50,58,30,14
2023,117,73,44,51,13,9
2024,130,24,106,19,5,0
2025,234,52,182,34,15,3
